Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Zona Uso ITBI;Data Inclusao Transacao
RUA POLONIA 1090 - JARDIM LEBLON - 31540-190 - BELO HORIZONTE - MG;JARDIM LEBLON;2004;360;210;420;P3;1;CC;NAO RESIDENCIAL;437211;ZAR2;01/11/2021
RUA RIO GRANDE DO SUL 25 - GARAGE 1 - CENTRO - 30170-110 - BELO HORIZONTE - MG;CENTRO;1981;541;22;22;P3;0,00485;VR;RESIDENCIAL;63571,2;ZHIP;01/11/2021
RUA CARANGOLA 145 - APT 203 - SANTO ANTONIO - 30330-240 - BELO HORIZONTE - MG;SANTO ANTONIO;1970;1329;97,62;97,62;P3;0,029608;AP;RESIDENCIAL;620000;ZA;01/11/2021
RUA DOUTOR CELIO ANDRADE 162 - APT 201 - BURITIS - 30575-265 - BELO HORIZONTE - MG;BURITIS;1998;805;176;176;P3;0,115;AP;RESIDENCIAL;530000;ZAR2;01/11/2021
RUA FREDERICO NOGUEIRA 74 - APT 601 - GRAJAU - 30431-140 - BELO HORIZONTE - MG;GRAJAU;2015;437,5;367,98;367,98;P4;0,224708;AP;RESIDENCIAL;1093783,27;ZA;01/11/2021
RUA AUGUSTO MOREIRA 225 - CASA 2 - SANTA AMELIA - 31555-100 - BELO HORIZONTE - MG;SANTA AMELIA;2002;360;141,14;141,14;P3;0,5;CA;RESIDENCIAL;445000;ZAR2;01/11/2021
RUA PADRE ROLIM 395 - APT 1202 - SANTA EFIGENIA - 30130-090 - BELO HORIZONTE - MG;SANTA EFIGENIA;1997;1120;119,42;119,42;P4;0,01283;AP;RESIDENCIAL;650000;ZCBH;01/11/2021
RUA WASHINGTON 718 - APT 302 - SION - 30315-540 - BELO HORIZONTE - MG;SION;1969;350;123;123;P3;0,167;AP;RESIDENCIAL;380000;ZA;01/11/2021
RUA PROFESSOR ARDUINO BOLIVAR 56 - APT 302 - SANTO ANTONIO - 30350-140 - BELO HORIZONTE - MG;SANTO ANTONIO;2013;396;100,99;100,99;P3;0,085627;AP;RESIDENCIAL;467000;ZA;01/11/2021
RUA JOAO ARANTES 235 - APT 401 - UNIAO - 31170-240 - BELO HORIZONTE - MG;UNIAO;2016;648;208,88;208,88;P4;0,092219;AP;RESIDENCIAL;825076;ZAP;01/11/2021
RUA COSTA REIS 32 - CASA 2 - COPACABANA - 31550-180 - BELO HORIZONTE - MG;COPACABANA;2000;360;176,44;176,44;P3;0,5;CA;RESIDENCIAL;630000;ZAR2;01/11/2021
RUA DEPUTADO SEBASTIAO NASCIMENTO 349 - APT 505 - HAVAI - 30575-410 - BELO HORIZONTE - MG;HAVAI;1982;27674;91;91;P3;0,003953;AP;RESIDENCIAL;295000;ZAR2;01/11/2021
RUA RAMALHO ORTIGAO 342 - APT 302 - SANTA BRANCA - 31565-100 - BELO HORIZONTE - MG;SANTA BRANCA;2016;360;102,61;102,61;P3;0,131958;AP;RESIDENCIAL;357082,8;ZAP;01/11/2021
RUA PANAMA 88 - APT 101 - SION - 30320-120 - BELO HORIZONTE - MG;SION;1975;420;108,86;108,86;P3;0,12924;AP;RESIDENCIAL;370000;ZA;01/11/2021
RUA VILA DA BARRA 94 - APT 102 - BARREIRO - 30640-450 - BELO HORIZONTE - MG;BARREIRO;2008;360;153,53;153,53;P3;0,134043;AP;RESIDENCIAL;669544,33;ZCBA;01/11/2021
RUA MONTE DAS OLIVEIRAS 38 - OLARIA - 30660-550 - BELO HORIZONTE - MG;OLARIA;1981;255;94,32;94,32;P2;1;CA;RESIDENCIAL;176917,54;ZAR2;01/11/2021
RUA JURUA 273 - APT 301 - GRACA - 31140-020 - BELO HORIZONTE - MG;GRACA;1998;304,5;118,05;118,05;P3;0,1998;AP;RESIDENCIAL;380000;ZAP;01/11/2021
RUA JULIO SOARES SANTANA 369 - APT 704 - OURO PRETO - 31320-010 - BELO HORIZONTE - MG;OURO PRETO;2014;3534;137,41;137,41;P4;0,016404;AP;RESIDENCIAL;362173,83;ZAR2;01/11/2021
RUA GOIAS 317 - APT 1305 - CENTRO - 30190-030 - BELO HORIZONTE - MG;CENTRO;1967;814;90,71;90,71;P2;0,008565;AP;RESIDENCIAL;350000;ZHIP;01/11/2021
RUA PROFESSOR BAETA VIANA 145 - APT 102 - ITAPOA - 31710-220 - BELO HORIZONTE - MG;ITAPOA;2003;360;146,6;146,6;P4;0,16125;AP;RESIDENCIAL;620000;ZAP;01/11/2021
RUA SERGIPE 65 - APT 501 - BOA VIAGEM - 30130-170 - BELO HORIZONTE - MG;BOA VIAGEM;1996;777;101,96;101,96;P4;0,01031;AP;RESIDENCIAL;450000;ZHIP;01/11/2021
RUA SANTA RITA DURAO 84 - APT 703 - FUNCIONARIOS - 30140-110 - BELO HORIZONTE - MG;FUNCIONARIOS;2020;428;71,07;71,07;P3;0,026925;AP;RESIDENCIAL;389463,6;ZCBH;01/11/2021
RUA SERGIPE 65 - GARAGE 15 2 NIVEL - BOA VIAGEM - 30130-170 - BELO HORIZONTE - MG;BOA VIAGEM;1996;777;21,76;21,76;P4;0,0022;VR;RESIDENCIAL;52158,72;ZHIP;01/11/2021
RUA ENGENHEIRO CALDAS 832 - BOA VISTA - 31060-480 - BELO HORIZONTE - MG;BOA VISTA;1978;306;182;182;P1;0,558282;CA;RESIDENCIAL;188131,2;ZAP;01/11/2021
RUA PROFESSOR MANOEL PENA 61 - APT 103 - SANTA MONICA - 31565-270 - BELO HORIZONTE - MG;SANTA MONICA;2021;720;67;134;P3;0,08206;AC;NAO RESIDENCIAL;342745,2;ZAP;01/11/2021
RUA ANTONIO EUSTAQUIO PIAZZA 3785 - TIROL - 30662-050 - BELO HORIZONTE - MG;TIROL;1974;405;343,06;343,06;P2;1;CA;RESIDENCIAL;546904,6;ZAP;01/11/2021
RUA ENGENHEIRO CALDAS 832 - BOA VISTA - 31060-480 - BELO HORIZONTE - MG;BOA VISTA;2008;306;144;144;P2;0,441718;GP;NAO RESIDENCIAL;190916,2;ZAP;01/11/2021
RUA ERVA MATE 320 - APT 103 BLOCO 3 - PIRATININGA - 31573-506 - BELO HORIZONTE - MG;PIRATININGA;2007;6725,32;47,91;47,91;P3;0,00676;AP;RESIDENCIAL;151318,94;ZAR2;01/11/2021
RUA SANTA BARBARA 244 - APT 201 - SAGRADA FAMILIA - 31030-150 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2021;419,06;196,26;196,26;P4;0,134128;AP;RESIDENCIAL;775227;ZAP;02/11/2021
RUA MARIA TEREZA DE SOUZA 39 - SAO GONCALO - 31814-680 - BELO HORIZONTE - MG;SAO GONCALO;1990;354;270,98;270,98;P3;1;CA;RESIDENCIAL;402309,23;ZAR2;02/11/2021
RUA MARIA DE SOUZA ALVES 170 - APT 202 - MANACAS - 30840-610 - BELO HORIZONTE - MG;MANACAS;2008;441,8;116,86;116,86;P3;0,103096;AP;RESIDENCIAL;400000;ZAP;02/11/2021
RUA SUL DE MINAS 93 - APT 102 - SANTA AMELIA - 31555-460 - BELO HORIZONTE - MG;SANTA AMELIA;2015;360;99,59;99,59;P3;0,147489;AP;RESIDENCIAL;390000;ZAR2;02/11/2021
AVE DOM JOAO VI 740 - BLOCO 5B APT 301 - CINQUENTENARIO - 30570-066 - BELO HORIZONTE - MG;CINQUENTENARIO;1997;9818;65,15;65,15;P3;0,003977;AP;RESIDENCIAL;220000;ZAR2;02/11/2021
RUA JULIO DE CASTILHO 133 - APT 501 BLOCO 5 - CINQUENTENARIO - 30570-080 - BELO HORIZONTE - MG;CINQUENTENARIO;2013;17696,91;81,55;81,55;P3;0,002698;AP;RESIDENCIAL;335000;ZAP;02/11/2021
RUA RIO GRANDE DO SUL 720 - GARAGE 40 - BARRO PRETO - 30170-114 - BELO HORIZONTE - MG;BARRO PRETO;1982;1080;8;8;P3;0,000859;VR;RESIDENCIAL;39999,99;ZCBH;02/11/2021
RUA RIO GRANDE DO SUL 720 - APT 808 - BARRO PRETO - 30170-114 - BELO HORIZONTE - MG;BARRO PRETO;1982;1080;74;74;P3;0,006178;AP;RESIDENCIAL;341431,99;ZCBH;02/11/2021
RUA JURUPARI 166 - APT 500 - SANTA LUCIA - 30350-590 - BELO HORIZONTE - MG;SANTA LUCIA;2006;1061,59;331,99;331,99;P5;0,16666;AP;RESIDENCIAL;1568187,96;ZAR1;02/11/2021
AVE ABILIO MACHADO 1264 - SALA 502 - INCONFIDENCIA - 30820-272 - BELO HORIZONTE - MG;INCONFIDENCIA;2000;1247,75;37,06;37,06;P3;0,006563;SL;NAO RESIDENCIAL;107448,58;ZAR2;03/11/2021
AVE AFONSO PENA 3351 - SALA 108 - SERRA - 30130-008 - BELO HORIZONTE - MG;SERRA;1994;1070;38,07;38,07;P4;0,00808;SL;NAO RESIDENCIAL;173477,38;ZA;03/11/2021
AVE OTACILIO NEGRAO DE LIMA 1624 - APT 335 - SAO LUIZ - 31275-042 - BELO HORIZONTE - MG;SAO LUIZ;2014;4083,27;34,28;34,28;P3;0,005875;AP;RESIDENCIAL;190871,04;ZP2;03/11/2021
RUA ADONIAS FILHO 377 - SANTA MARIA - 30525-130 - BELO HORIZONTE - MG;SANTA MARIA;2011;323;259,53;389,34;P2;1;CA;RESIDENCIAL;520000;ZAR2;03/11/2021
RUA ALAGOAS 581 - APT 1502 - SAVASSI - 30130-165 - BELO HORIZONTE - MG;SAVASSI;1996;2820;80,72;80,72;P4;0,004191;AP;RESIDENCIAL;515000;ZCBH;03/11/2021
RUA ALBITA 131 - PAVMTO 3 SALA 315 - CRUZEIRO - 30310-160 - BELO HORIZONTE - MG;CRUZEIRO;1987;4540;63,28;63,28;P4;0,003585;SL;NAO RESIDENCIAL;293815,37;ZA;03/11/2021
RUA ALMIRANTE ALEXANDRINO 700 - APT 210A - GUTIERREZ - 30441-082 - BELO HORIZONTE - MG;GUTIERREZ;1971;2623;64,38;64,38;P2;0,015006;AP;RESIDENCIAL;450000;ZA;03/11/2021
RUA ALVARENGA PEIXOTO 1040 - APT 801 - SANTO AGOSTINHO - 30180-121 - BELO HORIZONTE - MG;SANTO AGOSTINHO;2015;702;236,8;236,8;P4;0,039577;AP;RESIDENCIAL;1580000;ZCBH;03/11/2021
RUA ALVES DO VALE 240 - APT 703 - CORACAO DE JESUS - 30380-612 - BELO HORIZONTE - MG;CORACAO DE JESUS;2020;1808,18;126,76;126,76;P4;0,022211;AP;RESIDENCIAL;770000;ZA;03/11/2021
RUA ANDRE FERNANDES 153 - APT 1205 BLOCO 1 - NOVA SUISSA - 30421-201 - BELO HORIZONTE - MG;NOVA SUISSA;2020;6567,25;120,12;120,12;P4;0,006076;AP;RESIDENCIAL;575000;ZAP;03/11/2021
RUA ANDRE FERNANDES 153 - APT 1402 BLOCO 2 - NOVA SUISSA - 30421-201 - BELO HORIZONTE - MG;NOVA SUISSA;2020;6567,25;120,12;120,12;P4;0,006076;AP;RESIDENCIAL;565000;ZAP;03/11/2021
