Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Zona Uso ITBI;Data Inclusao Transacao
AVE FLAVIO DOS SANTOS 292 - APT 603 - FLORESTA - 31015-150 - BELO HORIZONTE - MG;FLORESTA;1.982;1.056;118;118;P3;0,02;AP;RESIDENCIAL;473.426,86;ZA;07/10/2021
RUA SAO JOAO DO PARAISO 15 - APT 103 - SION - 30315-450 - BELO HORIZONTE - MG;SION;1.967;810;144,5;144,5;P3;0,07;AP;RESIDENCIAL;520.000;ZA;07/10/2021
RUA SOUZA BASTOS 110 - APT 102 - FLORESTA - 31015-410 - BELO HORIZONTE - MG;FLORESTA;2.010;390;171,79;171,79;P3;0,12;AP;RESIDENCIAL;597.829,20;ZA;07/10/2021
RUA ITORORO 1115 - PADRE EUSTAQUIO - 30720-450 - BELO HORIZONTE - MG;PADRE EUSTAQUIO;1.951;500;206,12;385,59;P3;1;CA;RESIDENCIAL;827.707,24;ZA;07/10/2021
RUA PRATA 27 - APT 301 - CRUZEIRO - 30310-100 - BELO HORIZONTE - MG;CRUZEIRO;2.021;600;174,36;174,36;P4;0,09;AP;RESIDENCIAL;845.646;ZA;07/10/2021
RUA PARAGUAI 89 - APT 201 - SION - 30310-740 - BELO HORIZONTE - MG;SION;2.016;356,04;108,55;108,55;P3;0,11;AP;RESIDENCIAL;855.000;ZA;07/10/2021
RUA PAULO AFONSO 502 - APT 702 - SANTO ANTONIO - 30350-060 - BELO HORIZONTE - MG;SANTO ANTONIO;2.021;660;135,92;135,92;P4;0,06;AP;RESIDENCIAL;915.645,47;ZA;07/10/2021
RUA DA GROENLANDIA 255 - APT 1103 - SION - 30320-060 - BELO HORIZONTE - MG;SION;2.008;2.382,15;179,82;179,82;P4;0,02;AP;RESIDENCIAL;945.000;ZA;07/10/2021
AVE DOS BANDEIRANTES 477 - APT 502 - SION - 30315-000 - BELO HORIZONTE - MG;SION;1.983;802;204;204;P4;0,07;AP;RESIDENCIAL;993.535,69;ZA;07/10/2021
RUA MARQUES DE PARANAGUA 287 - APT 602 - SANTO ANTONIO - 30350-080 - BELO HORIZONTE - MG;SANTO ANTONIO;2.017;900;213,04;213,04;P4;0,06;AP;RESIDENCIAL;1.360.000;ZA;07/10/2021
