name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified
Ornato,30,built,2009,Alameda dos Jurupis 767,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95129,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Iepê Golf Condominium Torre 6,30,built,2008,Avenida Engenheiro Alberto de Zagottis 897,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96277,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Iepê Golf Condominium Torre 5,30,built,2008,Avenida Engenheiro Alberto de Zagottis 897,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96276,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Iepê Golf Condominium Torre 4,30,built,2008,Avenida Engenheiro Alberto de Zagottis 897,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96275,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Iepê Golf Condominium Torre 3,30,built,2008,Avenida Engenheiro Alberto de Zagottis 897,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96274,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Iepê Golf Condominium Torre 2,30,built,2008,Avenida Engenheiro Alberto de Zagottis 897,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96273,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Iepê Golf Condominium Torre 1,30,built,2008,Avenida Engenheiro Alberto de Zagottis 897,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96272,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Grand Phoenix,30,built,2005,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96200,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Well,28,built,2008,Rua Doutor Miranda de Azevedo 1155,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95805,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Spazio di Vivere,28,built,2006,Rua General Góis Monteiro 18,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95806,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Paulicéia,28,built,2008,Rua Vergueiro 266,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96475,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Metrópole,28,built,2008,Rua Vergueiro 266,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96474,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Aspen,28,built,1999,Rua Nilo 275,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96476,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Place de L'Étoile,27,built,1996,Rua Maranhão 690,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95819,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Parides,27,built,2009,Sao Paulo SP Brazil,,NA,NA,https://skyscraperpage.com/cities?buildingID=95108,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Olympic Higienópolis,27,built,1996,Avenida Higienópolis 15,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95818,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Long Stay Bela Cintra,27,built,2002,Rua Bela Cintra 521,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95817,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Golden Tower,27,built,1985,Rua Bahia 533,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95821,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Domaine du Soleil,27,built,2008,Sao Paulo SP Brazil,,NA,NA,https://skyscraperpage.com/cities?buildingID=95109,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
