name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified
East Side,26,built,2006,Rua Peixoto Gomide 596,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=102695,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
The Empire State Faria Lima Hotel & Conven...,25,built,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brascan Century Offices,25,built,2002,"Rua Joaquin Floriano, 466 - Itaim bibi",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63910,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- hole"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Barão De Itatiaia Galeria 2001,24,built,1977,Av. Paulista 2001 Jardim Paulista,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=104877,NA,NA,NA,"c(""Building Uses"", ""- office"", ""- communication"", ""- retail"", ""Structural Types"", ""- highrise"", ""- truss tower"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"")",0,1,0,0,Office
Exclusive Perdizes,23,built,2008,"Rua Tucuna, 662",Sao Paulo SP Brazil,,276,https://skyscraperpage.com/cities?buildingID=61446,276,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- aluminium"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Edifício Joelma,23,built,1972,"Av. 9 de Julho 225 x Rua Santo Antônio, 184 - Pça da Bandeira - Centro",Sao Paulo SP Brazil,,276,https://skyscraperpage.com/cities?buildingID=69883,276,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete, reinforced"", ""- concrete"")",0,1,0,0,Office
Icon Faria Lima,21,built,2007,"Av. Brigadeiro Faria Lima, 3311 Itaim 04538-133 Zona Sul",Sao Paulo SP Brazil,,272,https://skyscraperpage.com/cities?buildingID=72899,272,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Domani Pinheiros,27,built,2003,Rua Isabel de Castela,Sao Paulo SP Brazil,,271,https://skyscraperpage.com/cities?buildingID=10883,271,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
Viva Torre D,27,built,2009,Avenida Engenheiro Eusébio Estevaux 2461,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96285,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Viva Torre C,27,built,2009,Avenida Engenheiro Eusébio Estevaux 2461,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96284,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Villa Natura Bloco D,27,built,2005,Avenida Washington Luís 1277,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96195,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Villa Natura Bloco C,27,built,2005,Avenida Washington Luís 1277,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96194,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Villa Natura Bloco B,27,built,2005,Avenida Washington Luís 1277,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96193,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Villa Natura Bloco A,27,built,2005,Avenida Washington Luís 1277,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96192,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Torre São Paulo,27,built,,Rua Jerônima Dias 247,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95145,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Ouro Verde,27,built,,Rua Pedro Doll 530,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95144,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Bios Santana,27,built,2007,Rua Antônio Pereira de Sousa 425,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95142,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Astoria,27,built,1990,Rua Pedro Doll 333,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95143,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Victoria Park,22,built,,"Pedro Alvares Cabral,1088",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=11066,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",1,0,0,0,Residential
Conjunto Yervant Kissajikian,33,built,1981,Rua Zavuvus 5,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=10990,NA,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other
Tivoli Sao Paulo Mofarrej,23,built,,Alameda Santos 1437 - Cerqueira César,Sao Paulo SP Brazil,http://www.tivolihotels.com/en...,NA,https://skyscraperpage.com/cities?buildingID=108672,NA,NA,NA,"c(""Building Uses"", ""- hotel"", ""- parking garage"", ""- restaurant"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"", ""- fabric"")",0,0,1,0,Hotel
Maksoud Plaza,23,built,,Rua São Carlos do Pinhal 424 x Alameda Campinas 150 - Bela Vista,Sao Paulo SP Brazil,http://www.maksoud.com.br/defa...,NA,https://skyscraperpage.com/cities?buildingID=108673,NA,NA,NA,"c(""Building Uses"", ""- hotel"", ""- parking garage"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""- atrium"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- stone"", ""- aluminium"", ""- concrete, reinforced"")",0,0,1,0,Hotel
Edifício Véranda,23,built,2007,Rua Vanderlei 1223 Perdizes,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=59713,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- granite"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Edifício Marrion,23,built,2008,Rua Caiubi 489 x Rua Linda Ferreira da Rosa,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=59377,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""Materials"", ""- glass"", ""- limestone"", ""- marble"", ""- granite"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Edifício Espace,23,built,2006,Rua Fábia 404 Vila Romana,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=59380,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- granite"", ""- brick"", ""- concrete"")",1,0,0,0,Residential
Continental Sq. Faria Lima - Flat Caesar B...,22,built,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edificio Comendador Alberto Bonfiglioli,20,built,2001,"Avenida Paulista, 1048 - Bela Vista",Sao Paulo SP Brazil,,264,https://skyscraperpage.com/cities?buildingID=11078,264,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"")",0,1,0,0,Office
NYC Berrini,26,built,2009,"Sansão Alves dos Santos, 56",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95225,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential
Espaço Terral,26,built,2007,Avenida Dona Helena Pereira de Moraes 415,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95122,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Espaço Mistral,26,built,2007,Avenida Dona Helena Pereira de Moraes 415,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95123,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Espaço Brisa,26,built,2007,Avenida Dona Helena Pereira de Moraes 415,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95121,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Transamerica Flat Higienópolis,25,built,,Rua Alagoas 974,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95824,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Piazza della Fontana,25,built,,Rua Diogo Vaz 370,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96477,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Marrion Luxury Edition,25,built,2008,Rua Caiubi 489,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95812,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Mansão Charlie Parker,25,built,,Rua Apinajés 761,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95811,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Lumière,25,built,2007,Rua Coronel Melo de Oliveira 915,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95813,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Estacionamento Shopping 25 de Março,25,built,,Avenida Prestes Maia,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96401,NA,NA,NA,"c(""Building Uses"", ""- mixed use"", ""Structural Types"", ""- highrise"")",0,0,0,1,Other
Paradiso,24,built,2000,Rua Voluntários da Pátria 4280,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95139,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Paradiso,24,built,2000,"Rua Pará, 391",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95827,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Delta Plaza,22,built,1992,Rua Cincinato Braga 340/348,Sao Paulo SP Brazil,,262,https://skyscraperpage.com/cities?buildingID=63611,262,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""- landing pad"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Palácio Mauá,21,built,1952,Viaduto Dona Paulina 80,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96422,NA,NA,NA,"c(""Building Uses"", ""- courthouse"", ""Structural Types"", ""- highrise"")",0,0,0,1,Other
Azevedo e Villares,21,built,1943,Largo do Tesouro,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96423,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- art deco"")",0,1,0,0,Office
RochaVerá Plaza Torre B,18,built,2008,"Avenida das Nações Unidas, 14171 - Santo Amaro",Sao Paulo SP Brazil,,262,https://skyscraperpage.com/cities?buildingID=64358,262,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- carbon-fibre"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
RochaVerá Plaza Torre A,16,built,2008,"Avenida das Nações Unidas, 14171 - Santo Amaro",Sao Paulo SP Brazil,,262,https://skyscraperpage.com/cities?buildingID=64359,262,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Condominio Golden Tower 4,28,built,1995,Sao Paulo SP Brazil,,NA,262,https://skyscraperpage.com/cities?buildingID=10899,262,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Condominio Golden Tower 3,28,built,1995,Sao Paulo SP Brazil,,NA,262,https://skyscraperpage.com/cities?buildingID=10897,262,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Condominio Golden Tower 2,28,built,1995,Sao Paulo SP Brazil,,NA,262,https://skyscraperpage.com/cities?buildingID=10896,262,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Condominio Golden Tower 1,28,built,1995,Sao Paulo SP Brazil,,NA,262,https://skyscraperpage.com/cities?buildingID=10898,262,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Quality Hotel & Suites Congonhas Airport,25,built,2003,Rua Henrique Fausto Lancelotti 6333 Campo Belo 04625-005 Zona Leste,Sao Paulo SP Brazil,http://www.hotelclub.net/hotel...,262,https://skyscraperpage.com/cities?buildingID=10880,262,NA,NA,"c(""Building Uses"", ""- hotel"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- stone"", ""- aluminium"", ""- marble"", ""- concrete, reinforced"")",1,0,1,0,Mixed Use
Edifício Grande Avenida,22,built,1966,"Av. Paulista 1754, Bela Vista BR-01310-920 Zona Sul",Sao Paulo SP Brazil,,262,https://skyscraperpage.com/cities?buildingID=10925,262,NA,NA,"c(""Building Uses"", ""- office"", ""- communication"", ""Structural Types"", ""- highrise"", ""- truss tower"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"", ""- concrete"")",0,1,0,0,Office
Banco Central do Brasil,22,built,1980,"Avenida Paulista 1804 Bela Vista, Zona Sul",Sao Paulo SP Brazil,http://www.bcb.gov.br/?ESPACULTSP,262,https://skyscraperpage.com/cities?buildingID=10958,262,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete"")",0,1,0,0,Office
Palacio do Comercio,21,built,,Sao Paulo SP Brazil,,NA,262,https://skyscraperpage.com/cities?buildingID=10891,262,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other
Terra Brasilis,20,built,1997,Rua André Ampère 153,Sao Paulo SP Brazil,,262,https://skyscraperpage.com/cities?buildingID=11057,262,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office
Terra Brasilis,20,built,1997,Rua Sócrates 335,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96281,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Bolsa de Imóveis de São Paulo,20,built,1996,Av. Naçoes Unidas,Sao Paulo SP Brazil,,262,https://skyscraperpage.com/cities?buildingID=10947,262,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other
Edifício Atrium VI,19,built,2004,"Rua Gomes de Carvalho 1.510 x R. Fidêncio Ramos, Vila Olímpia Zona Sul",Sao Paulo SP Brazil,http://www.arcoweb.com.br/arqu...,262,https://skyscraperpage.com/cities?buildingID=10871,262,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
Edifício Sede Sudameris,17,built,1986,"Avenida Paulista, 1000 - Bela Vista",Sao Paulo SP Brazil,,262,https://skyscraperpage.com/cities?buildingID=10928,262,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"")",0,1,0,0,Office
Transamerica International,,built,2002,Sao Paulo SP Brazil,,NA,262,https://skyscraperpage.com/cities?buildingID=10884,262,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Parque Cultural Paulista,21,built,1990,"Avenida Paulista, 37 - Paraíso",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63625,NA,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"")",0,1,0,0,Office
Strelitzia,27,built,2004,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95117,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Portis Thamyris,27,built,2001,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95119,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Palazzo Panamby,27,built,2004,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95116,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Mirabilis,27,built,2008,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95110,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Hibiscus,27,built,2005,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95114,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Double View,27,built,2006,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95111,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Doppio Spazio,27,built,2005,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95113,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Cypris,27,built,2004,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95115,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Anthurium,27,built,2005,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95112,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Amadryas,27,built,2001,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95118,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Jazz Duet,26,built,2008,Sao Paulo SP Brazil,,NA,259,https://skyscraperpage.com/cities?buildingID=95120,259,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Vivere,26,built,2006,Rua Professor Dorival Dias Minhoto 333,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95151,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Torre Cantareira,26,built,,Rua Jerônima Dias 247,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95146,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Scott Joplin,26,built,,Rua Capitão Otávio Machado 1018,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96185,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Qualitá,26,built,,Avenida Raimundo Pereira de Magalhães 1652,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95157,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Prosperitá,26,built,,Avenida Raimundo Pereira de Magalhães 1652,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95156,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Mundo Apto Santana,26,built,2007,Rua José Debieux 282,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95147,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Modernitá,26,built,,Avenida Raimundo Pereira de Magalhães 1652,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95155,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
MO.R.E,26,built,2009,Rua Sócrates 193,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96286,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Manacá,26,built,2005,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96201,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Libertá,26,built,,Avenida Raimundo Pereira de Magalhães 1652,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95154,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Felicitá,26,built,,Avenida Raimundo Pereira de Magalhães 1652,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95153,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Felice,26,built,2006,Rua Professor Dorival Dias Minhoto 333,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95150,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Eternitá,26,built,,Avenida Raimundo Pereira de Magalhães 1652,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95152,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Esperanza,26,built,2008,Rua Professor Dorival Dias Minhoto 333,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95148,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Cristal,26,built,2006,Rua Professor Dorival Dias Minhoto 333,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95149,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential
Continental Square Faria Lima - Continenta...,18,built,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edifício Nassib Mofarrej,20,built,,"Av. Paulista. 392, Paraíso - Zona Sul",Sao Paulo SP Brazil,,253,https://skyscraperpage.com/cities?buildingID=10942,253,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- concrete, reinforced"", ""- concrete"")",0,1,0,0,Office
Edifício Paysage,22,built,2006,Rua Fábia 404 Vila Romana,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=59378,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- granite"", ""- brick"", ""- concrete"")",1,0,0,0,Residential
Edifício Largo do Ouvidor,22,built,1980,"Barao de Capanema, 538 - Jardim Paulista",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=11063,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential
Centro Empresarial e Cultural João Doming...,21,built,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edifício Exclusive Pacaembú,20,built,2008,Rua Dr. Cândido Espinheira 321 Pacaembú-Perdizes,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=59428,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""Materials"", ""- glass"", ""- steel"", ""- limestone"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential
Berrini 1511,18,built,2005,"Av. Engº Luiz Carlos Berrini 1.511, Brooklin Novo Zona Sul",Sao Paulo SP Brazil,http://www.arcoweb.com.br/arqu...,NA,https://skyscraperpage.com/cities?buildingID=65507,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""- hole"", ""Architectural Style"", ""- postmodern"", ""Materials"", ""- glass"", ""- aluminium"", ""- concrete"")",0,1,0,0,Office
Centro Profissional Morumbi Shopping,20,built,2008,Av. Chucri Zaidan x Av. Roque Petroni Jr. 1089 Chácara Santo Antônio,Sao Paulo SP Brazil,http://www.morumbishopping.com...,NA,https://skyscraperpage.com/cities?buildingID=69882,NA,NA,NA,"c(""Building Uses"", ""- mixed use"", ""- office"", ""- parking garage"", ""- restaurant"", ""- retail"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- limestone"", ""- aluminium"", ""- marble"", ""- granite"", ""- stucco"", ""- concrete, reinforced"", ""- concrete"")",0,1,0,0,Office
Birmann 12,13,built,1996,"Rua Alexandre Dumas 1771, Chácara Santo Antônio 04717-000 Zona Leste",Sao Paulo SP Brazil,,249,https://skyscraperpage.com/cities?buildingID=11086,249,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- pagoda style"", ""- postmodern"", ""Materials"", ""- copper"", ""- glass"", ""- limestone"", ""- aluminium"", ""- granite"", ""- concrete, reinforced"")",0,1,0,0,Office
