name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified,address_adj,lat,long
Paulista Plaza,20,built,2005,"Rua do Paraíso, 148 G",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63626,NA,NA,NA,"c(""Building Uses"", ""- office"", ""- parking garage"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",0,1,0,0,Office,"Rua do Paraíso, 148 G",-2.8588585,-44.037537
La Tour,23,built,,Rua Rio Grande 574,Sao Paulo SP Brazil,,239,https://skyscraperpage.com/cities?buildingID=11068,239,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Rio Grande 574,-23.5894257,-46.6419191
Vivre Torre B,24,built,2010,Rua Doutor Antônio Bento 504,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96183,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Doutor Antônio Bento 504,-23.6453305,-46.7021678
Ritz Vila Nova Bloco B,24,built,2008,Rua Jacques Félix 450,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95134,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Jacques Félix 450,-23.592807,-46.6715108
Ritz Vila Nova Bloco A,24,built,2008,Rua Jacques Félix 450,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95133,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Jacques Félix 450,-23.592807,-46.6715108
Primavera,24,built,2004,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96207,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Borba Gato 331,-23.6568592,-46.6996914
Palais des Sports Bloco B,24,built,1998,Rua Doutor José Aureo Bustamante 183,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96191,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Doutor José Aureo Bustamante 183,-23.6236905,-46.6973045
Palais Des Sports Bloco A,24,built,1998,Rua Doutor José Aureo Bustamante 183,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96190,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Doutor José Aureo Bustamante 183,-23.6236905,-46.6973045
Paineiras,24,built,2002,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96211,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Borba Gato 331,-23.6568592,-46.6996914
Ipe,24,built,2003,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96209,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Borba Gato 331,-23.6568592,-46.6996914
Ilhas do Mediterrâneo Torre D,24,built,1993,Rua Sócrates 853,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96290,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Sócrates 853,-23.6618378,-46.6923049
Ilhas do Mediterrâneo Torre C,24,built,1993,Rua Sócrates 853,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96289,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Sócrates 853,-23.6618378,-46.6923049
Ilhas do Mediterrâneo Torre B,24,built,1993,Rua Sócrates 853,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96288,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Sócrates 853,-23.6618378,-46.6923049
Ilhas do Mediterrâneo Torre A,24,built,1993,Rua Sócrates 853,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96287,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Sócrates 853,-23.6618378,-46.6923049
Flamboyant,24,built,2002,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96210,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Borba Gato 331,-23.6568592,-46.6996914
Bouganville,24,built,2004,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96206,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Borba Gato 331,-23.6568592,-46.6996914
Acácias,24,built,2003,Rua Borba Gato 331,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96208,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Borba Gato 331,-23.6568592,-46.6996914
Edifício Saint Paul de Leon,23,built,,Rua Pará,Sao Paulo SP Brazil,,233,https://skyscraperpage.com/cities?buildingID=10938,233,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,Rua Pará,-1.1267854,-48.4303879
Edifício Domaine de Belle Vue,23,built,,rua Maranhão,Sao Paulo SP Brazil,,230,https://skyscraperpage.com/cities?buildingID=10936,230,NA,NA,"c(""Structural Types"", ""- highrise"")",0,0,0,1,Other,rua Maranhão,-2.8848482,-41.9013809
