"Date","Price","Open","High","Low","Vol.","Change %"
"May 19, 2020","60,257.38","61,062.09","61,549.67","60,180.50","-","-1.52%"
"May 18, 2020","61,189.93","59,854.28","61,469.81","59,679.54","-","3.61%"
"May 15, 2020","59,058.84","59,318.21","59,806.50","58,157.12","-","-0.51%"
"May 14, 2020","59,359.09","57,057.23","59,359.09","56,199.72","-","3.21%"
"May 13, 2020","57,512.63","58,558.82","58,844.71","56,997.51","-","-1.28%"
"May 12, 2020","58,261.09","59,231.70","60,380.93","58,235.91","-","-1.53%"
"May 11, 2020","59,166.97","59,593.38","60,066.29","58,777.08","-","-1.07%"
"May 08, 2020","59,809.31","58,724.12","59,809.31","58,266.14","-","3.11%"
"May 07, 2020","58,004.30","60,529.51","60,784.70","58,004.30","-","-3.91%"
"May 06, 2020","60,363.83","61,334.67","61,348.94","59,789.97","-","-1.37%"
"May 05, 2020","61,200.28","60,783.67","61,888.03","60,783.67","-","1.40%"
"May 04, 2020","60,355.40","60,557.11","60,665.90","59,379.22","-","-1.60%"
"Apr 30, 2020","61,335.14","62,222.16","62,462.13","60,913.32","-","-1.79%"
"Apr 29, 2020","62,450.63","63,017.29","63,341.89","62,049.17","-","0.32%"
"Apr 28, 2020","62,251.57","61,359.99","62,538.00","61,359.99","-","2.94%"
"Apr 27, 2020","60,471.58","59,266.31","60,677.04","59,233.37","-","3.35%"
"Apr 24, 2020","58,512.88","61,591.31","61,647.30","57,001.48","-","-6.01%"
"Apr 23, 2020","62,253.75","63,470.31","64,048.35","61,606.83","-","-1.31%"
"Apr 22, 2020","63,081.36","62,233.09","63,812.07","62,136.79","-","1.16%"
"Apr 20, 2020","62,359.38","61,311.94","62,861.13","60,646.00","-","0.75%"
"Apr 17, 2020","61,893.48","62,492.70","62,845.49","61,527.84","-","0.03%"
"Apr 16, 2020","61,872.81","62,895.36","63,201.06","61,590.92","-","-0.80%"
"Apr 15, 2020","62,374.81","61,136.07","62,554.99","60,602.29","-","0.83%"
"Apr 14, 2020","61,861.97","60,562.69","62,217.71","60,562.69","-","3.23%"
"Apr 13, 2020","59,926.20","59,537.35","60,367.68","58,251.30","-","0.61%"
"Apr 09, 2020","59,562.37","59,297.51","60,294.95","59,137.98","-","1.25%"
"Apr 08, 2020","58,829.74","57,801.33","59,259.84","56,864.76","-","1.79%"
"Apr 07, 2020","57,797.33","58,497.70","60,670.57","57,707.58","-","1.37%"
"Apr 06, 2020","57,018.76","56,381.46","58,212.91","56,381.46","-","2.89%"
"Apr 03, 2020","55,414.60","56,156.03","56,290.32","54,478.51","-","-1.39%"
"Apr 02, 2020","56,195.94","56,115.10","56,908.48","55,456.65","-","0.74%"
"Apr 01, 2020","55,784.44","56,660.58","56,660.58","54,973.35","-","-3.24%"
"Mar 31, 2020","57,650.79","57,941.21","59,066.48","56,876.70","-","-0.54%"
